iteration,total_timesteps,loss,approx_kl,explained_variance,entropy_loss,learning_rate
76,622592,7.230886459350586,0.007862585,0.968228355050087,-10.03248128592968,<function linear_schedule.<locals>.func at 0x0000020697778720>
77,630784,1809.35888671875,0.0053040897,0.9565879069268703,-10.030542017519474,<function linear_schedule.<locals>.func at 0x0000020697778720>
78,638976,1838.9720458984375,0.006267987,0.9620696306228638,-10.002631489932536,<function linear_schedule.<locals>.func at 0x0000020697778720>
79,647168,1329.789794921875,0.0057926727,0.9692658744752407,-10.008646522462367,<function linear_schedule.<locals>.func at 0x0000020697778720>
80,655360,1573.06884765625,0.0054883445,0.9672705270349979,-10.02111799567938,<function linear_schedule.<locals>.func at 0x0000020697778720>
81,663552,1444.5206298828125,0.0073593026,0.9735363200306892,-10.00881985127926,<function linear_schedule.<locals>.func at 0x0000020697778720>
82,671744,1588.5616455078125,0.0054372554,0.9780382569879293,-10.013349151611328,<function linear_schedule.<locals>.func at 0x0000020697778720>
83,679936,1181.7088623046875,0.0057033724,0.9773681946098804,-10.037760306894778,<function linear_schedule.<locals>.func at 0x0000020697778720>
84,688128,1007.3657836914062,0.0066448874,0.9805128425359726,-10.048440389335155,<function linear_schedule.<locals>.func at 0x0000020697778720>
85,696320,2013.299560546875,0.005413746,0.9863449204713106,-10.04434967637062,<function linear_schedule.<locals>.func at 0x0000020697778720>
86,704512,2072.556884765625,0.0059308163,0.9932905281893909,-10.03881815969944,<function linear_schedule.<locals>.func at 0x0000020697778720>
87,712704,2317.84716796875,0.005531039,0.9940300304442644,-10.05010436475277,<function linear_schedule.<locals>.func at 0x0000020697778720>
88,720896,2386.350830078125,0.005285429,0.991109786555171,-10.033002619445323,<function linear_schedule.<locals>.func at 0x0000020697778720>
89,729088,2222.397216796875,0.0051574665,0.9880830058827996,-10.021536707878113,<function linear_schedule.<locals>.func at 0x0000020697778720>
90,737280,2073.88232421875,0.005610764,0.988911671563983,-10.035320064425468,<function linear_schedule.<locals>.func at 0x0000020697778720>
91,745472,1795.6923828125,0.006300132,0.9934511599130929,-10.067349475622176,<function linear_schedule.<locals>.func at 0x0000020697778720>
92,753664,922.742919921875,0.006948281,0.9719394128769636,-10.076077350974083,<function linear_schedule.<locals>.func at 0x0000020697778720>
93,761856,3121.394775390625,0.0058710612,0.984059875831008,-10.092409117519855,<function linear_schedule.<locals>.func at 0x0000020697778720>
94,770048,894.3357543945312,0.0049538454,0.986049048602581,-10.100300291180611,<function linear_schedule.<locals>.func at 0x0000020697778720>
95,778240,1014.2785034179688,0.006493797,0.9810797460377216,-10.09084762185812,<function linear_schedule.<locals>.func at 0x0000020697778720>
96,786432,1446.69189453125,0.005538285,0.9838845208287239,-10.0674602791667,<function linear_schedule.<locals>.func at 0x0000020697778720>
97,794624,1296.9384765625,0.007825219,0.9930658778175712,-10.061817483603955,<function linear_schedule.<locals>.func at 0x0000020697778720>
98,802816,1420.7979736328125,0.006448967,0.9934668587520719,-10.067955954372882,<function linear_schedule.<locals>.func at 0x0000020697778720>
99,811008,1457.8818359375,0.006885987,0.9926073350943625,-10.078692267835141,<function linear_schedule.<locals>.func at 0x0000020697778720>
100,819200,1594.9627685546875,0.0052267723,0.9815272800624371,-10.085642141103744,<function linear_schedule.<locals>.func at 0x0000020697778720>
101,827392,1613.6278076171875,0.006389883,0.9809934552758932,-10.086227893829346,<function linear_schedule.<locals>.func at 0x0000020697778720>
102,835584,1123.4376220703125,0.005708412,0.9937507905997336,-10.095946627855302,<function linear_schedule.<locals>.func at 0x0000020697778720>
103,843776,1452.940673828125,0.004978667,0.9854694604873657,-10.09407943189144,<function linear_schedule.<locals>.func at 0x0000020697778720>
104,851968,1233.5264892578125,0.0063647563,0.9761570654809475,-10.080254730582237,<function linear_schedule.<locals>.func at 0x0000020697778720>
105,860160,1221.503173828125,0.0051996857,0.9822285119444132,-10.065654926002026,<function linear_schedule.<locals>.func at 0x0000020697778720>
106,868352,1086.6405029296875,0.0069000917,0.9934932794421911,-10.053508085012435,<function linear_schedule.<locals>.func at 0x0000020697778720>
107,876544,4074.50439453125,0.0056153955,0.9852223070338368,-10.033753357827663,<function linear_schedule.<locals>.func at 0x0000020697778720>
108,884736,305.1656188964844,0.0065020756,0.9897309290245175,-10.036284874379636,<function linear_schedule.<locals>.func at 0x0000020697778720>
109,892928,1044.23779296875,0.004577979,0.9828570690006018,-10.041582323610783,<function linear_schedule.<locals>.func at 0x0000020697778720>
